Time,wb_x_vel,base_x_vel_flt,arm_x_vel_syn,x_wb,x_hat,x_des_w,dx_hat
0.209987,-0,-0.0001537757,-0.0001537757,-0.1513725,0.00101224236150956,-0,0.00618113370919454
0.219988,-0,-0.000149338,-0.000149338,-0.1513356,0.00104502174259471,-0,0.00327793810851538
0.229994,-0,-0.0001442501,-0.0001442501,-0.1511184,0.00106514383076662,-0,0.00201220881719052
0.239993,-0,-0.0001386864,-0.0001386864,-0.1510435,0.00110065195942542,-0,0.00355081286587986
0.24999,-0,-0.0001327929,-0.0001327929,-0.1510481,0.00114723895495864,-0,0.0046586995533222
0.259988,-0,-0.0001266913,-0.0001266913,-0.1508914,0.00119325153224306,-0,0.00460125772844164
0.269987,-0,-0.0001204821,-0.0001204821,-0.1508998,0.00125078884082095,-0,0.00575373085778893
0.279993,-0,-0.0001142478,-0.0001142478,-0.1508516,0.00130635556411577,-0,0.0055566723294823
0.289991,-0,-0.0001080866,-0.0001080866,-0.1508449,0.00136016197835215,-0,0.00538064142363824
0.299988,-0,-0.0001020152,-0.0001020152,-0.1507848,0.00140804944915222,-0,0.00478874708000666
0.309991,-0,-9.607719e-05,-9.607719e-05,-0.1508871,0.00145451073113651,-0,0.00464612819842939
0.319988,-0,-9.030664e-05,-9.030664e-05,-0.1506327,0.00148432800903256,-0,0.00298172778960479
0.329997,-0,-8.630935e-05,-8.630935e-05,-0.1507891,0.00153067017907188,-0,0.00463421700393215
0.339993,-0,-8.220844e-05,-8.220844e-05,-0.1506642,0.00156265540044802,-0,0.00319852213761354
0.350021,-0,-7.806463e-05,-7.806463e-05,-0.1506447,0.00159808929565393,-0,0.00354338952059187
0.359989,-0,-7.997386e-05,-7.997386e-05,-0.1504873,0.00163331206727399,-0,0.00352227716200557
0.369989,-0,-8.311184e-05,-8.311184e-05,-0.1504637,0.00168146997633364,-0,0.00481579090596485
0.379988,-0,-8.540629e-05,-8.540629e-05,-0.1504637,0.00173273711624601,-0,0.00512671399123673
0.389987,-0,-8.846979e-05,-8.846979e-05,-0.1504677,0.00177983219171911,-0,0.00470950754731063
0.399993,-0,-9.390941e-05,-9.390941e-05,-0.1504627,0.00181950758908372,-0,0.00396753973646103
0.410021,-0,-9.737641e-05,-9.737641e-05,-0.1504627,0.00185207359866132,-0,0.00325660095775966
0.419993,-0,-9.921092e-05,-9.921092e-05,-0.1505674,0.00187790654606493,-0,0.00258329474036152
0.430004,-0,-9.970476e-05,-9.970476e-05,-0.1504072,0.00188669434765262,-0,0.000878780158768985
0.439994,-0,-0.0001023446,-0.0001023446,-0.1504031,0.00190402312333883,-0,0.00173287756862097
0.450006,-0,-0.0001034593,-0.0001034593,-0.1504172,0.00192374707264516,-0,0.0019723949306322
0.460007,-0,-0.0001043346,-0.0001043346,-0.1503552,0.00194089474947316,-0,0.00171476768280051
0.469994,-0,-0.0001065131,-0.0001065131,-0.1504193,0.00196166148519455,-0,0.00207667357213885
0.479993,-0,-0.0001079226,-0.0001079226,-0.1504193,0.00197493405575662,-0,0.00132725705620711
0.490001,-0,-0.0001079851,-0.0001079851,-0.1502224,0.00198339659640789,-0,0.000846254065126827
0.5,-0,-0.0001069558,-0.0001069558,-0.15019,0.0020098646750997,-0,0.00264680786918087
0.510007,-0,-0.0001057713,-0.0001057713,-0.1501054,0.00204501952723553,-0,0.00351548521358297
0.519995,0.1,-0.0001037541,-0.0001037541,-0.1500798,0.00208931953732942,-0,0.00443000100938948
0.529994,0.1,0.04989892,0.04989892,-0.1500798,0.00213565871844735,0.001,0.00463391811179309
0.53999,0.1,0.04989475,0.04989475,-0.1500798,0.00217788026606571,0.002,0.00422215476183595
0.55,0.1,0.04988638,0.04988638,-0.1500798,0.00221366441349322,0.003,0.00357841474275097
0.560002,0.1,0.04988074,0.04988074,-0.1500798,0.00224266790813317,0.004,0.00290034946399511
0.569997,0.1,0.04987736,0.04987736,-0.1500798,0.00226547310393772,0.005,0.0022805195804551
0.579991,0.1,0.04987585,0.04987585,-0.1500798,0.00228301509121491,0.006,0.00175419872771814
0.58999,0.1,0.04987135,0.04987135,-0.1500798,0.00229628590812571,0.007,0.00132708169108008
0.599988,0.1,0.04985738,0.04985738,-0.1493608,0.00230619541603908,0.008,0.000990950791337677
0.609995,0.1,0.0498475,0.0498475,-0.1480364,0.00239051780592356,0.009,0.00843223898844732
0.620016,0.1,0.04984101,0.04984101,-0.1480364,0.00264095798576324,0.01,0.0250440179839686
0.629992,0.1,0.04983735,0.04983735,-0.1480364,0.00293885064778059,0.011,0.0297892662017351
0.639992,0.1,0.04983512,0.04983512,-0.1480364,0.0032257082562766,0.012,0.0286857608496007
0.649989,0.1,0.04982543,0.04982543,-0.1480364,0.00347644320363879,0.013,0.025073494736219
0.659997,0.1,0.04978597,0.04978597,-0.1424755,0.00368370443903278,0.014,0.0207261235393995
0.669996,0.1,0.04972167,0.04972167,-0.1410447,0.00444444626886212,0.015,0.0760741829829338
0.679992,0.1,0.04964874,0.04964874,-0.1397017,0.0055245273618783,0.016,0.108008109301618
0.689991,0.1,0.04957302,0.04957302,-0.1372772,0.00677462155131119,0.017,0.125009418943289
0.69999,0.1,0.04950092,0.04950092,-0.1359724,0.00822496812823567,0.018,0.145034657692449
0.709991,0.1,0.04944751,0.04944751,-0.1349629,0.00974749066777233,0.019,0.152252253953666
0.719998,0.1,0.04940499,0.04940499,-0.1349629,0.011245161412581,0.02,0.149767074480866
0.729993,0.1,0.04936513,0.04936513,-0.1319102,0.0125689616635376,0.021,0.132380025095665
0.739991,0.1,0.04933919,0.04933919,-0.1312033,0.0139977294701958,0.022,0.14287678066582
0.749992,0.1,0.04932479,0.04932479,-0.1305317,0.0153941619212995,0.023,0.139643245110366
0.75999,0.1,0.04931938,0.04931938,-0.1292115,0.0166962825178499,0.024,0.130212059655036
